protocol,request_num,rtt_ms,payload_bytes,header_bytes,total_bytes,status
CoAP,1,10.144,64,9,73,ok
CoAP,2,10.486,64,9,73,ok
CoAP,3,6.382,64,9,73,ok
CoAP,4,13.072,64,9,73,ok
CoAP,5,21.523,64,9,73,ok
CoAP,6,12.825,64,9,73,ok
CoAP,7,12.913,64,9,73,ok
CoAP,8,10.458,64,9,73,ok
CoAP,9,8.624,64,9,73,ok
CoAP,10,6.443,64,9,73,ok
CoAP,11,15.043,64,9,73,ok
CoAP,12,6.469,64,9,73,ok
CoAP,13,6.368,64,9,73,ok
CoAP,14,6.416,64,9,73,ok
CoAP,15,6.497,64,9,73,ok
CoAP,16,6.366,64,9,73,ok
CoAP,17,6.493,64,9,73,ok
CoAP,18,8.627,64,9,73,ok
CoAP,19,8.566,64,9,73,ok
CoAP,20,10.724,64,9,73,ok
CoAP,21,8.564,64,9,73,ok
CoAP,22,6.477,64,9,73,ok
CoAP,23,6.396,64,9,73,ok
CoAP,24,6.433,64,9,73,ok
CoAP,25,6.464,64,9,73,ok
CoAP,26,6.441,64,9,73,ok
CoAP,27,6.422,64,9,73,ok
CoAP,28,6.468,64,9,73,ok
CoAP,29,8.554,64,9,73,ok
CoAP,30,6.449,64,9,73,ok
CoAP,31,6.452,64,9,73,ok
CoAP,32,6.395,64,9,73,ok
CoAP,33,6.47,64,9,73,ok
CoAP,34,10.719,64,9,73,ok
CoAP,35,8.606,64,9,73,ok
CoAP,36,10.734,64,9,73,ok
CoAP,37,8.714,64,9,73,ok
CoAP,38,8.465,64,9,73,ok
CoAP,39,8.571,64,9,73,ok
CoAP,40,6.447,64,9,73,ok
CoAP,41,8.494,64,9,73,ok
CoAP,42,6.48,64,9,73,ok
CoAP,43,6.402,64,9,73,ok
CoAP,44,6.415,64,9,73,ok
CoAP,45,6.482,64,9,73,ok
CoAP,46,8.541,64,9,73,ok
CoAP,47,6.563,64,9,73,ok
CoAP,48,6.335,64,9,73,ok
CoAP,49,6.41,64,9,73,ok
CoAP,50,8.538,64,9,73,ok
CoAP,51,6.486,64,9,73,ok
CoAP,52,6.456,64,9,73,ok
CoAP,53,8.542,64,9,73,ok
CoAP,54,6.471,64,9,73,ok
CoAP,55,8.579,64,9,73,ok
CoAP,56,8.596,64,9,73,ok
CoAP,57,6.429,64,9,73,ok
CoAP,58,8.592,64,9,73,ok
CoAP,59,8.592,64,9,73,ok
CoAP,60,6.456,64,9,73,ok
CoAP,61,6.417,64,9,73,ok
CoAP,62,8.589,64,9,73,ok
CoAP,63,6.417,64,9,73,ok
CoAP,64,8.601,64,9,73,ok
CoAP,65,10.753,64,9,73,ok
CoAP,66,6.399,64,9,73,ok
CoAP,67,6.491,64,9,73,ok
CoAP,68,8.618,64,9,73,ok
CoAP,69,8.53,64,9,73,ok
CoAP,70,8.56,64,9,73,ok
CoAP,71,8.646,64,9,73,ok
CoAP,72,6.396,64,9,73,ok
CoAP,73,10.988,64,9,73,ok
CoAP,74,8.517,64,9,73,ok
CoAP,75,10.683,64,9,73,ok
CoAP,76,8.364,64,9,73,ok
CoAP,77,6.377,64,9,73,ok
CoAP,78,10.835,64,9,73,ok
CoAP,79,8.579,64,9,73,ok
CoAP,80,6.373,64,9,73,ok
CoAP,81,8.595,64,9,73,ok
CoAP,82,6.439,64,9,73,ok
CoAP,83,10.771,64,9,73,ok
CoAP,84,6.417,64,9,73,ok
CoAP,85,6.419,64,9,73,ok
CoAP,86,10.75,64,9,73,ok
CoAP,87,8.579,64,9,73,ok
CoAP,88,6.466,64,9,73,ok
CoAP,89,6.442,64,9,73,ok
CoAP,90,6.385,64,9,73,ok
CoAP,91,10.784,64,9,73,ok
CoAP,92,6.451,64,9,73,ok
CoAP,93,8.586,64,9,73,ok
CoAP,94,8.583,64,9,73,ok
CoAP,95,7.553,64,9,73,ok
CoAP,96,7.515,64,9,73,ok
CoAP,97,10.715,64,9,73,ok
CoAP,98,8.586,64,9,73,ok
CoAP,99,10.793,64,9,73,ok
CoAP,100,6.388,64,9,73,ok
